route_id,service_id,trip_id,trip_headsign,block_id,run_id,shape_id,duty_id,trip_label,trip_index,trp_time_end,trp_place_end,trp_place_end_descr,trp_trip_ST,trp_block,trp_operating_days,direction_id,trp_time_start
15,202220D-vs20222D-Weekday-05,3759509-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645808,1551,150010,510,155109,396,15:24:00,scmc,"Santa Cruz Metro Center",1,1551,,0,14:45:00
15,202220D-vs20222D-Weekday-05,3759511-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645808,1551,150010,510,155110,397,16:29:00,scmc,"Santa Cruz Metro Center",1,1551,,0,15:45:00
18,202220D-vs20222D-Weekday-05,3759545-202220D-vs20222D-Weekday-05,"18 - Mission to UCSC via Main Gate",645808,1551,180001,510,155111,398,17:32:00,scmc,"Santa Cruz Metro Center",1,1551,,0,16:40:00
15,202220D-vs20222D-Weekday-05,3759515-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645808,1551,150010,510,155112,399,18:25:00,scmc,"Santa Cruz Metro Center",1,1551,,0,17:45:00
18,202220D-vs20222D-Weekday-05,3759546-202220D-vs20222D-Weekday-05,"18 - Mission to UCSC via Main Gate",645808,1551,180001,510,155113,400,19:23:00,scmc,"Santa Cruz Metro Center",1,1551,,0,18:40:00
15,202220D-vs20222D-Weekday-05,3759519-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645808,1551,150010,510,155114,401,20:25:00,scmc,"Santa Cruz Metro Center",1,1551,,0,19:45:00
10,202220D-vs20222D-Weekday-05,3759493-202220D-vs20222D-Weekday-05,"10 - High St to UCSC via Main Gate",645808,1551,100009,510,155115,402,21:13:00,scmc,"Santa Cruz Metro Center",1,1551,,0,20:35:00
22,202220D-vs20222D-Weekday-05,3759533-202220D-vs20222D-Weekday-05,"22 - Almar/Bay to UCSC via Main Gate",645809,1552,220008,502,155201,403,07:46:00,mrnlab,"Seymour Center",1,1552,,0,07:03:00
22,202220D-vs20222D-Weekday-05,3759534-202220D-vs20222D-Weekday-05,"22 - Almar/Bay to UCSC via Main Gate",645809,1552,220008,502,155202,404,08:46:00,mrnlab,"Seymour Center",1,1552,,0,08:03:00
22,202220D-vs20222D-Weekday-05,3759535-202220D-vs20222D-Weekday-05,"22 - Almar/Bay to UCSC via Main Gate",645809,1552,220008,502,155203,405,09:46:00,mrnlab,"Seymour Center",1,1552,,0,09:03:00
22,202220D-vs20222D-Weekday-05,3759536-202220D-vs20222D-Weekday-05,"22 - Almar/Bay to UCSC via Main Gate",645809,1552,220008,505,155204,406,10:45:00,mrnlab,"Seymour Center",1,1552,,0,10:03:00
22,202220D-vs20222D-Weekday-05,3759537-202220D-vs20222D-Weekday-05,"22 - Almar/Bay to UCSC via Main Gate",645809,1552,220008,505,155205,407,11:45:00,mrnlab,"Seymour Center",1,1552,,0,11:03:00
22,202220D-vs20222D-Weekday-05,3759538-202220D-vs20222D-Weekday-05,"22 - Almar/Bay to UCSC via Main Gate",645809,1552,220008,505,155206,408,12:45:00,mrnlab,"Seymour Center",1,1552,,0,12:03:00
22,202220D-vs20222D-Weekday-05,3759539-202220D-vs20222D-Weekday-05,"22 - Almar/Bay to UCSC via Main Gate",645809,1552,220008,505,155207,409,13:45:00,mrnlab,"Seymour Center",1,1552,,0,13:03:00
22,202220D-vs20222D-Weekday-05,3759540-202220D-vs20222D-Weekday-05,"22 - Almar/Bay to UCSC via Main Gate",645809,1552,220008,505,155208,410,14:49:00,mrnlab,"Seymour Center",1,1552,,0,14:03:00
22,202220D-vs20222D-Weekday-05,3759541-202220D-vs20222D-Weekday-05,"22 - Almar/Bay to UCSC via Main Gate",645809,1552,220008,505,155209,411,15:49:00,mrnlab,"Seymour Center",1,1552,,0,15:03:00
22,202220D-vs20222D-Weekday-05,3759542-202220D-vs20222D-Weekday-05,"22 - Almar/Bay to UCSC via Main Gate",645809,1552,220008,505,155210,412,16:49:00,mrnlab,"Seymour Center",1,1552,,0,16:03:00
22,202220D-vs20222D-Weekday-05,3759543-202220D-vs20222D-Weekday-05,"22 - Almar/Bay to UCSC via Main Gate",645809,1552,220008,505,155211,413,17:47:00,mrnlab,"Seymour Center",1,1552,,0,17:03:00
22,202220D-vs20222D-Weekday-05,3759544-202220D-vs20222D-Weekday-05,"22 - Almar to Mission & Bay",645809,1552,220007,505,155212,414,18:04:00,baymis,"Bay & Mission",1,1552,,0,17:55:00
15,202220D-vs20222D-Weekday-05,3759494-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645811,1553,150010,503,155301,421,07:54:00,scmc,"Santa Cruz Metro Center",1,1553,,0,07:15:00
15,202220D-vs20222D-Weekday-05,3759496-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645811,1553,150010,503,155302,422,08:54:00,scmc,"Santa Cruz Metro Center",1,1553,,0,08:15:00
15,202220D-vs20222D-Weekday-05,3759498-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645811,1553,150010,503,155303,423,09:54:00,scmc,"Santa Cruz Metro Center",1,1553,,0,09:15:00
15,202220D-vs20222D-Weekday-05,3759500-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645811,1553,150010,503,155304,424,10:54:00,scmc,"Santa Cruz Metro Center",1,1553,,0,10:15:00
15,202220D-vs20222D-Weekday-05,3759502-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645811,1553,150010,503,155305,425,11:54:00,scmc,"Santa Cruz Metro Center",1,1553,,0,11:15:00
15,202220D-vs20222D-Weekday-05,3759504-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645811,1553,150010,503,155306,426,12:54:00,scmc,"Santa Cruz Metro Center",1,1553,,0,12:15:00
15,202220D-vs20222D-Weekday-05,3759506-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645811,1553,150010,503,155307,427,13:54:00,scmc,"Santa Cruz Metro Center",1,1553,,0,13:15:00
15,202220D-vs20222D-Weekday-05,3759508-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645811,1553,150010,503,155308,428,14:54:00,scmc,"Santa Cruz Metro Center",1,1553,,0,14:15:00
15,202220D-vs20222D-Weekday-05,3759510-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645811,1553,150010,504,155309,429,15:59:00,scmc,"Santa Cruz Metro Center",1,1553,,0,15:15:00
15,202220D-vs20222D-Weekday-05,3759512-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645811,1553,150010,504,155310,430,16:59:00,scmc,"Santa Cruz Metro Center",1,1553,,0,16:15:00
15,202220D-vs20222D-Weekday-05,3759514-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645811,1553,150010,504,155311,431,17:55:00,scmc,"Santa Cruz Metro Center",1,1553,,0,17:15:00
15,202220D-vs20222D-Weekday-05,3759513-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645812,1554,150010,506,155401,432,17:29:00,scmc,"Santa Cruz Metro Center",1,1554,,0,16:45:00
15,202220D-vs20222D-Weekday-05,3759516-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645812,1554,150010,506,155402,433,18:55:00,scmc,"Santa Cruz Metro Center",1,1554,,0,18:15:00
19,202220D-vs20222D-Weekday-05,3759440-202220D-vs20222D-Weekday-05,"19 - Lower Bay to UCSC via West Gate",645812,1554,190013,506,155403,434,19:43:00,scmc,"Santa Cruz Metro Center",1,1554,,0,19:05:00
15,202220D-vs20222D-Weekday-05,3759520-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645812,1554,150010,506,155404,435,20:55:00,scmc,"Santa Cruz Metro Center",1,1554,,0,20:15:00
15,202220D-vs20222D-Weekday-05,3759517-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645813,1555,150010,507,155501,436,19:25:00,scmc,"Santa Cruz Metro Center",1,1555,,0,18:45:00
19,202220D-vs20222D-Weekday-05,3759397-202220D-vs20222D-Weekday-05,"19 - Lower Bay to UCSC via West Gate",645813,1555,190013,507,155502,437,20:43:00,scmc,"Santa Cruz Metro Center",1,1555,,0,20:05:00
19,202220D-vs20222D-Weekday-05,3759396-202220D-vs20222D-Weekday-05,"19 - Lower Bay to UCSC via West Gate",645813,1555,190013,507,155503,438,21:43:00,scmc,"Santa Cruz Metro Center",1,1555,,0,21:05:00
15,202220D-vs20222D-Weekday-05,3759518-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645814,1556,150010,508,155601,439,19:55:00,scmc,"Santa Cruz Metro Center",1,1556,,0,19:15:00
18,202220D-vs20222D-Weekday-05,3759523-202220D-vs20222D-Weekday-05,"18 - Mission to UCSC via Main Gate",645814,1556,180001,508,155602,440,21:08:00,scmc,"Santa Cruz Metro Center",1,1556,,0,20:25:00
15,202220D-vs20222D-Weekday-05,3759490-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645814,1556,150010,508,155603,441,21:49:00,scmc,"Santa Cruz Metro Center",1,1556,,0,21:15:00
18,202220D-vs20222D-Weekday-05,3759522-202220D-vs20222D-Weekday-05,"18 - Mission to UCSC via Main Gate",645810,1557,180001,509,155701,415,20:08:00,scmc,"Santa Cruz Metro Center",1,1557,,0,19:25:00
15,202220D-vs20222D-Weekday-05,3759547-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645810,1557,150010,509,155702,416,21:13:00,scmc,"Santa Cruz Metro Center",1,1557,,0,20:33:00
18,202220D-vs20222D-Weekday-05,3759524-202220D-vs20222D-Weekday-05,"18 - Mission to UCSC via Main Gate",645810,1557,180001,512,155703,417,22:01:00,scmc,"Santa Cruz Metro Center",1,1557,,0,21:25:00
18,202220D-vs20222D-Weekday-05,3759525-202220D-vs20222D-Weekday-05,"18 - Mission to UCSC via Main Gate",645810,1557,180001,512,155704,418,23:01:00,scmc,"Santa Cruz Metro Center",1,1557,,0,22:25:00
18,202220D-vs20222D-Weekday-05,3759491-202220D-vs20222D-Weekday-05,"18 - Mission to UCSC via Main Gate",645810,1557,180001,512,155705,419,24:01:00,scmc,"Santa Cruz Metro Center",1,1557,,0,23:25:00
18,202220D-vs20222D-Weekday-05,3759553-202220D-vs20222D-Weekday-05,"18 - Mission to UCSC via Main Gate",645810,1557,180001,512,155706,420,25:01:00,scmc,"Santa Cruz Metro Center",1,1557,,0,24:25:00
15,202220D-vs20222D-Weekday-05,3759521-202220D-vs20222D-Weekday-05,"15 - Laurel to UCSC via West Gate",645815,1558,150010,511,155801,442,21:25:00,scmc,"Santa Cruz Metro Center",1,1558,,0,20:45:00
19,202220D-vs20222D-Weekday-05,3759395-202220D-vs20222D-Weekday-05,"19 - Lower Bay to UCSC via West Gate",645815,1558,190013,511,155802,443,22:43:00,scmc,"Santa Cruz Metro Center",1,1558,,0,22:05:00
19,202220D-vs20222D-Weekday-05,3759532-202220D-vs20222D-Weekday-05,"19 - Lower Bay to UCSC via West Gate",645815,1558,190013,511,155803,444,23:43:00,scmc,"Santa Cruz Metro Center",1,1558,,0,23:05:00
17,202220D-vs20222D-Weekday-05,3759182-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to San Jose via SVTC",645764,1701,170062,701,170101,1,06:48:00,esc6th,"E Santa Clara & S 6th",0,1701,,0,05:40:00
17,202220D-vs20222D-Weekday-05,3759181-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to Santa Cruz via SVTC",645764,1701,170066,701,170102,2,08:22:00,scmc2,"Santa Cruz Metro Lane 2",0,1701,,1,07:19:00
17,202220D-vs20222D-Weekday-05,3759391-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to San Jose via SVTC",645764,1701,170062,701,170103,3,09:53:00,esc6th,"E Santa Clara & S 6th",0,1701,,0,08:45:00
17,202220D-vs20222D-Weekday-05,3759393-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to Santa Cruz via SVTC",645764,1701,170066,301,170104,4,11:23:00,scmc2,"Santa Cruz Metro Lane 2",0,1701,,1,10:10:00
17,202220D-vs20222D-Weekday-05,3759190-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to San Jose",645764,1701,170063,301,170105,5,12:53:00,esc6th,"E Santa Clara & S 6th",0,1701,,0,11:55:00
17,202220D-vs20222D-Weekday-05,3759186-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to Santa Cruz via SVTC",645764,1701,170066,301,170106,6,14:33:00,scmc2,"Santa Cruz Metro Lane 2",0,1701,,1,13:20:00
17,202220D-vs20222D-Weekday-05,3759178-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to San Jose via SVTC",645765,1702,170062,304,170201,7,07:48:00,esc6th,"E Santa Clara & S 6th",0,1702,,0,06:40:00
17,202220D-vs20222D-Weekday-05,3759185-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to Santa Cruz via Scotts Valley Drive",645765,1702,170067,304,170202,8,09:27:00,scmc2,"Santa Cruz Metro Lane 2",0,1702,,1,08:19:00
17,202220D-vs20222D-Weekday-05,3759382-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to San Jose via SVTC",645765,1702,170062,302,170203,9,10:53:00,esc6th,"E Santa Clara & S 6th",0,1702,,0,09:45:00
17,202220D-vs20222D-Weekday-05,3759383-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to Santa Cruz via SVTC",645765,1702,170066,302,170204,10,12:28:00,scmc2,"Santa Cruz Metro Lane 2",0,1702,,1,11:15:00
17,202220D-vs20222D-Weekday-05,3759180-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to San Jose",645770,1703,170063,704,170301,54,08:41:00,esc6th,"E Santa Clara & S 6th",0,1703,,0,07:43:00
17,202220D-vs20222D-Weekday-05,3759179-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to Santa Cruz via SVTC",645770,1703,170066,704,170302,55,10:12:00,scmc2,"Santa Cruz Metro Lane 2",0,1703,,1,09:09:00
17,202220D-vs20222D-Weekday-05,3759205-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to San Jose via SVTC",645770,1703,170062,705,170303,56,11:53:00,esc6th,"E Santa Clara & S 6th",0,1703,,0,10:45:00
17,202220D-vs20222D-Weekday-05,3759206-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to Santa Cruz",645770,1703,170068,705,170304,57,13:08:00,scmc2,"Santa Cruz Metro Lane 2",0,1703,,1,12:15:00
17,202220D-vs20222D-Weekday-05,3759183-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to San Jose via SVTC",645828,1704,170062,509,170401,534,13:53:00,esc6th,"E Santa Clara & S 6th",0,1704,,0,12:45:00
17,202220D-vs20222D-Weekday-05,3759191-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to Santa Cruz",645828,1704,170068,509,170402,535,15:19:00,scmc2,"Santa Cruz Metro Lane 2",0,1704,,1,14:20:00
17,202220D-vs20222D-Weekday-05,3759392-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to San Jose via SVTC",645828,1704,170062,509,170403,536,16:55:00,esc6th,"E Santa Clara & S 6th",0,1704,,0,15:40:00
17,202220D-vs20222D-Weekday-05,3759197-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to Santa Cruz via Scotts Valley Drive",645828,1704,170067,509,170404,537,18:34:00,scmc2,"Santa Cruz Metro Lane 2",0,1704,,1,17:20:00
17,202220D-vs20222D-Weekday-05,3759193-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to San Jose via Scotts Valley Drive",645828,1704,170064,706,170405,538,20:08:00,esc6th,"E Santa Clara & S 6th",0,1704,,0,18:55:00
17,202220D-vs20222D-Weekday-05,3759189-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to Santa Cruz via SVTC",645828,1704,170066,706,170406,539,21:32:00,scmc2,"Santa Cruz Metro Lane 2",0,1704,,1,20:30:00
17,202220D-vs20222D-Weekday-05,3759194-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to San Jose",645771,1705,170063,702,170501,58,14:53:00,esc6th,"E Santa Clara & S 6th",0,1705,,0,13:55:00
17,202220D-vs20222D-Weekday-05,3759195-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to Santa Cruz via SVTC",645771,1705,170066,702,170502,59,16:33:00,scmc2,"Santa Cruz Metro Lane 2",0,1705,,1,15:20:00
17,202220D-vs20222D-Weekday-05,3759192-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to San Jose via SVTC",645827,1706,170062,703,170601,530,15:55:00,esc6th,"E Santa Clara & S 6th",0,1706,,0,14:40:00
17,202220D-vs20222D-Weekday-05,3759187-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to Santa Cruz via SVTC",645827,1706,170066,703,170602,531,17:29:00,scmc2,"Santa Cruz Metro Lane 2",0,1706,,1,16:20:00
17,202220D-vs20222D-Weekday-05,3759188-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to San Jose",645827,1706,170063,512,170603,532,18:55:00,esc6th,"E Santa Clara & S 6th",0,1706,,0,17:50:00
17,202220D-vs20222D-Weekday-05,3759196-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to Santa Cruz via Scotts Valley Drive",645827,1706,170067,512,170604,533,20:34:00,scmc2,"Santa Cruz Metro Lane 2",0,1706,,1,19:20:00
17,202220D-vs20222D-Weekday-05,3759184-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to San Jose via Scotts Valley Drive",645821,1707,170064,708,170701,488,17:55:00,esc6th,"E Santa Clara & S 6th",0,1707,,0,16:35:00
17,202220D-vs20222D-Weekday-05,3759390-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to Santa Cruz",645821,1707,170068,708,170702,489,19:19:00,scmc2,"Santa Cruz Metro Lane 2",0,1707,,1,18:20:00
17,202220D-vs20222D-Weekday-05,3759199-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to San Jose via SVTC",645766,1708,170062,707,170801,11,21:23:00,esc6th,"E Santa Clara & S 6th",0,1708,,0,20:20:00
17,202220D-vs20222D-Weekday-05,3759198-202220D-vs20222D-Weekday-05,"17 - Highway 17 Express to Santa Cruz via SVTC",645766,1708,170066,707,170802,12,22:42:00,scmc2,"Santa Cruz Metro Lane 2",0,1708,,1,21:40:00
18,202220D-vs20222D-Weekday-05,3759398-202220D-vs20222D-Weekday-05,"18 - Mission to UCSC via Main Gate",645779,1801,180001,12,180101,96,07:04:00,scmc,"Santa Cruz Metro Center",0,1801,,0,06:25:00
18,202220D-vs20222D-Weekday-05,3759400-202220D-vs20222D-Weekday-05,"18 - Mission to UCSC via Main Gate",645779,1801,180001,12,180102,97,08:12:00,scmc,"Santa Cruz Metro Center",0,1801,,0,07:25:00
18,202220D-vs20222D-Weekday-05,3759402-202220D-vs20222D-Weekday-05,"18 - Mission to UCSC via Main Gate",645779,1801,180001,12,180103,98,09:12:00,scmc,"Santa Cruz Metro Center",0,1801,,0,08:25:00
18,202220D-vs20222D-Weekday-05,3759404-202220D-vs20222D-Weekday-05,"18 - Mission to UCSC via Main Gate",645779,1801,180001,12,180104,99,10:12:00,scmc,"Santa Cruz Metro Center",0,1801,,0,09:25:00
20,202220D-vs20222D-Weekday-05,3759045-202220D-vs20222D-Weekday-05,"20 - Delaware/Western to UCSC via Main Gate",645779,1801,200023,12,180105,100,11:33:00,scmc,"Santa Cruz Metro Center",0,1801,,0,10:40:00
10,202220D-vs20222D-Weekday-05,3759030-202220D-vs20222D-Weekday-05,"10 - High St to UCSC via Main Gate",645779,1801,100009,12,180106,101,12:52:00,scmc,"Santa Cruz Metro Center",0,1801,,0,12:10:00
10,202220D-vs20222D-Weekday-05,3759032-202220D-vs20222D-Weekday-05,"10 - High St to UCSC via Main Gate",645779,1801,100009,12,180107,102,13:52:00,scmc,"Santa Cruz Metro Center",0,1801,,0,13:10:00
10,202220D-vs20222D-Weekday-05,3759034-202220D-vs20222D-Weekday-05,"10 - High St to UCSC via Main Gate",645779,1801,100009,43,180108,103,14:58:00,scmc,"Santa Cruz Metro Center",0,1801,,0,14:10:00
20,202220D-vs20222D-Weekday-05,3759050-202220D-vs20222D-Weekday-05,"20 - Delaware/Western to UCSC via Main Gate",645779,1801,200023,43,180109,104,16:33:00,scmc,"Santa Cruz Metro Center",0,1801,,0,15:40:00
18,202220D-vs20222D-Weekday-05,3759419-202220D-vs20222D-Weekday-05,"18 - Mission to UCSC via Main Gate",645779,1801,180001,43,180110,105,17:47:00,scmc,"Santa Cruz Metro Center",0,1801,,0,16:55:00
18,202220D-vs20222D-Weekday-05,3759422-202220D-vs20222D-Weekday-05,"18 - Mission to UCSC via Main Gate",645779,1801,180001,43,180111,106,19:08:00,scmc,"Santa Cruz Metro Center",0,1801,,0,18:25:00
69W,202220D-vs20222D-Weekday-05,3759274-202220D-vs20222D-Weekday-05,"69W - Capitola/Cabrillo to Watsonville",645779,1801,69W0005,43,180112,107,20:24:00,wtc,"Watsonville Transit Center",0,1801,,0,19:37:00
69W,202220D-vs20222D-Weekday-05,3759275-202220D-vs20222D-Weekday-05,"69W - Capitola/Cabrillo to Santa Cruz",645779,1801,69W0006,43,180113,108,21:35:00,scmc,"Santa Cruz Metro Center",0,1801,,1,20:50:00
